time,avg_gossip_count,avg_vaccinated_count,avg_recovered_count
0.0,0.0,0.0,0.0
0.8763657874397716,56.34587890435802,0.13,1.2113166161731785
1.7527315748795431,279.27707034145266,0.23,2.5832646824401264
2.629097362319315,251.89857572140303,0.31,4.532382033376028
3.5054631497590862,201.59248915592747,0.41,6.816187561986762
4.381828937198858,179.6497047035534,0.58,9.06
5.25819472463863,169.6488395596033,0.75,11.766879850335433
6.134560512078401,163.81579276781613,1.0,14.807122080363918
7.0109262995181725,162.62023916873895,1.28,18.095675578265933
7.887292086957944,161.3626556708088,1.62,21.554945077399854
8.763657874397715,161.46786666799144,1.88,25.559719522573154
9.640023661837487,160.72932019799978,2.16,29.107662037637592
10.51638944927726,163.0424757802067,2.45,33.315556381991655
11.392755236717031,161.27128383188895,2.77,37.75587028814929
12.269121024156801,159.56625068195694,3.14,42.10383200787392
13.145486811596573,158.10837350392106,3.7072033466535737,46.852257618368476
14.021852599036345,160.01463788226604,4.22,51.692998835572915
14.898218386476117,159.8871084540928,4.73,56.681002977052316
15.774584173915889,159.41954657639437,5.24,62.227265678185994
16.65094996135566,160.07709113145182,5.65,67.32410436751161
17.52731574879543,160.0953879524107,6.07,72.63552297104776
18.403681536235204,161.35700037814337,6.63,77.91853462920987
19.280047323674975,162.52969340170662,7.04,82.61260631394424
20.156413111114745,162.7242057449832,7.48055686798099,87.79250855692253
21.03277889855452,160.657499546087,7.95,93.02835834710724
21.90914468599429,159.2739559001936,8.4,98.31899878569234
22.785510473434062,159.74547186737303,8.77,103.54397944988328
23.661876260873832,160.05971990208775,9.36,108.86011427451078
24.538242048313602,160.29041210091185,9.88,113.79285247349134
25.414607835753376,160.2070915115497,10.475070367440837,119.21312380350773
26.290973623193146,160.86924100873014,10.991235393543947,124.97284751439528
27.16733941063292,159.03825206227617,11.486761228824726,130.4257899564303
28.04370519807269,158.06908073450242,11.97,135.52172704012608
28.92007098551246,160.2812045994261,12.49,140.8671180847296
29.796436772952234,161.88443046512933,13.05,145.98596662810152
30.672802560392004,159.92791487795938,13.54,150.81064764136966
31.549168347831777,159.7565418888401,13.96,155.78772963159275
32.42553413527155,157.8712393997975,14.3,160.4377870658002
33.30189992271132,161.055785435644,14.64,164.79111322699254
34.17826571015109,160.64104481163588,14.99,169.23138973818334
35.05463149759086,160.33529265887867,15.412083098442563,173.24678473388573
35.930997285030635,160.28913070628496,15.757453738362642,177.1258946391793
36.80736307247041,160.59746259345468,16.01,180.6206663491697
37.683728859910175,160.24001819776092,16.34,184.01
38.56009464734995,160.08060520236023,16.67,187.4851356830037
39.43646043478972,159.3757913828629,17.07,190.7
40.31282622222949,159.81208198370916,17.37,194.35
41.18919200966926,160.6219329997201,17.59,197.54830134235854
42.06555779710904,161.8255534780373,17.81,200.76697466069942
42.9419235845488,161.4351041799958,18.07,203.40910011826156
43.81828937198858,158.64405400592514,18.35,205.96
44.69465515942835,158.1511578356682,18.5,208.48449628000347
45.571020946868124,157.22495878284047,18.776351777030825,210.8941534229659
46.44738673430789,158.06353091501637,19.07,213.1120927894716
47.323752521747664,160.42625192400868,19.22,215.28191250273332
48.20011830918744,159.52226762423902,19.36,217.43
49.076484096627205,159.94285440026388,19.52,219.6065975526079
49.95284988406698,159.65639925675097,19.72,221.35147064487387
50.82921567150675,160.1503603950855,19.8652736046083,223.03865678532645
51.70558145894652,159.72220768467466,19.99,224.78
52.58194724638629,158.93816140694477,20.13,226.4466691280512
53.458313033826066,159.14246635961482,20.29,227.76516675963458
54.33467882126584,161.10125902657128,20.44,229.33
55.211044608705606,160.50616247083494,20.55,230.75653306578542
56.08741039614538,160.92368638413637,20.66,231.89837757950772
56.96377618358515,160.07993677754976,20.76,233.18601780473065
57.84014197102492,158.0316771603753,20.89,234.41
58.716507758464694,158.5476368373458,20.956876026160145,235.31
59.59287354590447,159.49911146238728,21.1,236.35
60.46923933334424,159.4654483761107,21.19,237.37
61.34560512078401,159.25001367964805,21.24,238.35795214389458
62.22197090822378,159.15860917545075,21.32,239.18
63.098336695663555,159.75433196223284,21.37,239.92
63.97470248310332,161.58550660842621,21.45,240.55
64.8510682705431,161.83465183339752,21.52,240.96
65.72743405798286,161.79287588253135,21.57,241.6
66.60379984542264,159.01599924041867,21.66,242.13
67.48016563286241,159.4497175415865,21.73,242.59031187917336
68.35653142030218,159.5935597875753,21.79,243.04
69.23289720774196,159.81996167530178,21.81,243.58
70.10926299518172,159.15279479183363,21.87,244.0070628266449
70.98562878262149,157.95267509440555,21.91,244.48
71.86199457006127,158.66542959907827,21.96,244.95
72.73836035750104,159.9335710479335,21.97,245.38
73.61472614494082,158.79775669324707,22.01,245.82
74.49109193238058,159.4774261703715,22.03,246.11
75.36745771982035,158.55445278899174,22.05,246.350945284706
76.24382350726013,159.90019460976592,22.05,246.65
77.1201892946999,159.40125487310982,22.05,246.93
77.99655508213966,160.85525229376296,22.07,247.13
78.87292086957945,159.4388004820217,22.07,247.36
79.74928665701921,158.27124918183287,22.09,247.71
80.62565244445898,158.65992813278245,22.11,247.94142694555418
81.50201823189876,159.69897125234874,22.12,248.13
82.37838401933853,159.66118325575957,22.12,248.33
83.25474980677829,159.92519701649738,22.13,248.52
84.13111559421807,159.5309395263527,22.15,248.67
85.00748138165784,159.4669392285958,22.19,248.84
85.8838471690976,159.6763893110626,22.2,248.98738403581964
86.76021295653739,159.05811415358758,22.21,249.13960557403226
87.63657874397715,158.13136906654802,22.24,249.27
88.51294453141693,158.45164084161755,22.27,249.51
89.3893103188567,159.26340706221438,22.3,249.59
