time,avg_gossip,avg_vaccinated,avg_recovered,avg_severe
0.0,0.0,0.0,0.0,0.0
0.9302192710245761,31.780523428566166,0.2277309520100129,1.1347130972063364,0.5132067557415594
1.8604385420491523,161.82090470329248,0.4529595831919242,2.347977661181005,0.8401119107737672
2.7906578130737283,197.50317334849416,0.62,3.515700289149184,1.1957116114048942
3.7208770840983045,153.38812592949648,0.86,4.776598752680178,1.6002302637252268
4.65109635512288,132.14257228729025,1.13,6.138215790695628,1.9
5.581315626147457,113.2496525137777,1.43,7.557816380282961,2.23
6.511534897172033,102.47881175091742,1.9103495636078727,8.93796545357408,2.52
7.441754168196609,102.20446302838121,2.2414920961161657,10.33,2.89
8.371973439221184,93.3332296028877,2.6,11.811397012299249,3.2231021467844063
9.30219271024576,89.45208198706075,2.92,13.188473745321085,3.61
10.232411981270337,86.73482303932703,3.2334907494014873,14.45,3.8837757708824396
11.162631252294913,83.49226760868483,3.57,15.58,4.18
12.09285052331949,86.7893602506026,3.87,16.955661263544872,4.408975813795976
13.023069794344066,82.04650205305066,4.4,18.33213875326344,4.69
13.953289065368642,77.68446953176425,4.71,19.49,4.899113908207629
14.883508336393218,75.60760987256788,5.05,20.779509478712598,5.06
15.813727607417794,74.98712325823544,5.271107075137581,21.963942712683593,5.32
16.74394687844237,73.51504333852918,5.663457400296693,23.14,5.507253604937656
17.674166149466945,71.8001145263099,6.003939200529146,24.05,5.649324727074267
18.60438542049152,69.74506920287654,6.296210467318314,25.102377725779387,5.84
19.534604691516098,69.76622198556767,6.54,26.06,6.014542778126283
20.464823962540674,69.89199208885219,6.9,27.13509339878098,6.26
21.39504323356525,64.97860923959333,7.25,28.03,6.41
22.325262504589826,63.430227542730144,7.561234738525382,29.062178907507526,6.69
23.255481775614403,62.19252498825455,7.85,29.95431243991676,6.92
24.18570104663898,60.30990650618083,8.066556665713454,30.855289983843303,7.08
25.115920317663555,58.60735807092355,8.4,31.793365989458472,7.33
26.04613958868813,61.77160705866334,8.65,32.68984496687122,7.56
26.976358859712708,60.95595622212988,8.92,33.703060555655924,7.78
27.906578130737284,57.32149058458569,9.27,34.61986579476403,8.024792694443711
28.83679740176186,55.56499468024861,9.552409137760286,35.37645534450237,8.2
29.767016672786436,51.12979714774299,9.843020791168216,36.33777105399206,8.43
30.697235943811013,49.6001311066581,10.086623377793014,37.25855632331325,8.61
31.62745521483559,46.41113887520192,10.336518788053441,38.01143261286733,8.82
32.55767448586016,44.85270269461605,10.64,38.85439151948665,8.981904859729186
33.48789375688474,51.43102889897376,10.809422452800812,39.63033201883543,9.171161932250058
34.418113027909314,58.53820686323829,11.019416161129651,40.321489593491876,9.28
35.34833229893389,50.78868123266541,11.30333098713646,40.95553806334169,9.420353830023245
36.278551569958466,48.54371114835166,11.517685748288127,41.537996270051934,9.582669824039181
37.20877084098304,46.95724565251609,11.619180155888465,42.09414342711765,9.64
38.13899011200762,47.800100717862485,11.803108073950463,42.591906491382325,9.751047751267443
39.069209383032195,50.706628704334,11.996864278462045,43.12108182878277,9.86
39.99942865405677,48.263374115454525,12.170622105352468,43.74749346881552,10.01
40.92964792508135,44.008843730718894,12.367348966853456,44.36479268065608,10.114711731318435
41.859867196105924,43.26584889620573,12.52992585567079,44.78479994353153,10.206410608677281
42.7900864671305,43.96314286638189,12.683140358931892,45.30451185965396,10.32
43.720305738155076,45.76009675691227,12.818504928317665,45.85537706078405,10.49
44.65052500917965,43.87529821358431,12.980265444448408,46.29970313412053,10.5
45.58074428020423,42.44540531652946,13.110513841750581,46.874295056911734,10.58
46.510963551228805,45.652850995688716,13.20818847147052,47.25782162700394,10.701293007151126
47.44118282225338,43.822541709775784,13.395139666928003,47.59015593006146,10.78
48.37140209327796,41.207398477477746,13.477452579516715,47.97126208898238,10.874934582898522
49.301621364302534,42.73911898053455,13.579765492105425,48.499341599440534,10.95091793976348
50.23184063532711,44.36211591897738,13.737856804732164,48.93795869907256,11.079105531839916
51.162059906351686,43.2775140508845,13.880612916917624,49.269802130440624,11.12
52.09227917737626,44.16028943955649,13.980117767587531,49.65445261877036,11.24
53.02249844840084,42.54338032790734,14.09,49.96407591675153,11.27
53.952717719425415,41.70820839767275,14.17,50.40462563650891,11.33
54.88293699044999,42.12906245531367,14.277326938641458,50.81131521860792,11.382903747825862
55.81315626147457,41.52575786209768,14.37,51.182508901698355,11.45
56.743375532499144,40.70802242329203,14.45,51.465629770168235,11.52
57.67359480352372,39.79074836961012,14.52771689574573,51.71394488216759,11.55
58.603814074548296,40.54163643655883,14.627921604509423,52.007839615175975,11.56
59.53403334557287,39.23949687566787,14.720464074931733,52.18841825532178,11.62
60.46425261659745,38.95500500257809,14.834652749654628,52.445181917099966,11.65846287176293
61.394471887622025,39.371401066,14.950297510206742,52.68614874982573,11.7
62.3246911586466,39.45177914781742,15.025697595261772,52.92872364277334,11.740754592299622
63.25491042967118,40.05849240368196,15.11753342778142,53.165544860482804,11.79
64.18512970069575,39.90261599296666,15.232850467124424,53.3456257352183,11.81
65.11534897172032,38.64203729372111,15.295133858685425,53.534875719757295,11.826576329020467
66.0455682427449,38.38431625925725,15.399960993905387,53.61518295806847,11.85
66.97578751376948,39.25053283274964,15.536690453269989,53.74088871024359,11.85
67.90600678479406,38.732975901705956,15.64746875056227,53.94446764944895,11.87
68.83622605581863,39.67719304823812,15.69198926213714,54.078970296519834,11.9
69.76644532684321,40.1588117768992,15.740095216599581,54.24338993803694,11.91
70.69666459786778,39.22116458710758,15.792480324171175,54.44624948903369,11.93
