time,avg_gossip_count,avg_vaccinated_count,avg_recovered_count
0.0,5.0,0.0,0.0
1.0067111421360082,294.4911223891452,0.11806070046146083,1.2338476847449074
2.0134222842720164,256.6852807058506,0.23,3.05
3.020133426408025,203.12534235987002,0.37,5.610877228894408
4.026844568544033,176.69024163307859,0.6175412679892659,8.615317602342818
5.033555710680041,168.92263519059873,0.82,11.510821621084437
6.04026685281605,164.83341237939544,1.14,15.199128324901432
7.046977994952058,161.50204644804182,1.5,19.151546714684883
8.053689137088066,162.27922774885488,1.87,23.32264129288714
9.060400279224075,161.32945486020344,2.231308497319937,27.33532586235364
10.067111421360082,160.5527655607513,2.685847109621518,32.27008647736277
11.07382256349609,161.9672360002645,3.032769412726018,36.56944724464957
12.0805337056321,161.66022762924842,3.38,41.51
13.087244847768106,163.10032311905755,3.86,46.47279862807227
14.093955989904115,162.31590202428407,4.34,51.47712962529903
15.100667132040122,162.8208387969055,4.807127690471662,57.306031770559045
16.10737827417613,164.62374533642847,5.21,62.818154884011875
17.11408941631214,162.48054933314995,5.66,68.54410165051088
18.12080055844815,162.0534929389661,6.18,74.51999968789875
19.127511700584154,163.14162589113533,6.71,80.54633897190907
20.134222842720163,161.66195441714325,7.09,86.43479596607973
21.140933984856172,159.1191923004377,7.68,92.85984549848102
22.14764512699218,160.0937812806458,8.21,99.25880168414253
23.15435626912819,161.4923160423178,8.66,104.88352677534799
24.1610674112642,163.5457729788887,9.17,111.00562614119754
25.167778553400204,163.49780233923485,9.565044910964966,116.59855250742542
26.174489695536213,163.7065628288237,10.16,122.46
27.181200837672222,160.28925698093033,10.54,127.78945745628839
28.18791197980823,162.26132946886904,11.13,132.9163738596323
29.19462312194424,162.37040415706588,11.55442494724281,138.04843872044935
30.201334264080245,163.20405604832743,12.0,142.79
31.208045406216254,161.33181121174323,12.45018903538134,147.48530460135532
32.21475654835226,163.4054513426282,12.94,152.24379338909182
33.22146769048827,163.03904371204274,13.39,156.70060518657442
34.22817883262428,160.19156111055153,13.78,161.01099416138325
35.234889974760286,162.86203695294495,14.19,164.8008082046868
36.2416011168963,163.11782607994698,14.44,168.4513152816018
37.2483122590323,161.722789750383,14.731499872756915,171.99002604520192
38.25502340116831,162.9814185311078,14.99,175.6633946430701
39.26173454330432,164.94916627349713,15.24,179.16723870173098
40.26844568544033,163.36041663599008,15.36,182.56470014362765
41.27515682757634,163.3837630120039,15.71,185.4
42.281867969712344,163.9979472025976,15.92,188.10480907023717
43.28857911184835,164.90391086740823,16.15,190.52367531519658
44.29529025398436,161.66124936125905,16.34,193.03134101738652
45.30200139612037,160.84283700488902,16.51,195.22136249029543
46.30871253825638,161.8287598543415,16.69,197.38534729364648
47.315423680392385,162.4861142337841,16.84,199.53
48.3221348225284,160.38591200599367,16.97,201.65740114171587
49.3288459646644,159.9864171021262,17.15,203.46920435160504
50.33555710680041,162.82033002358924,17.31,205.18688788538472
51.34226824893642,162.97999566039064,17.44,206.65996654479778
52.348979391072426,161.25763975404828,17.61,208.22422624121077
53.35569053320844,160.92734865820793,17.79,209.68
54.362401675344444,158.81607758322593,17.97,211.18
55.36911281748045,158.74949003852288,18.02,212.671117811028
56.37582395961646,162.36007469337684,18.12,213.85158946348278
57.38253510175247,163.42504270720198,18.27,215.08
58.38924624388848,161.7107602328115,18.35,216.36
59.395957386024484,161.82135490969364,18.44,217.33778904958143
60.40266852816049,161.13478390313378,18.49,218.33
61.4093796702965,159.89512924109883,18.61,219.31
62.41609081243251,162.44244648585646,18.67,220.24
63.42280195456852,162.30726670615414,18.77,221.11
64.42951309670453,161.5721906695432,18.84,221.88
65.43622423884054,160.89673117340678,18.89,222.661699182996
66.44293538097654,159.83953410123976,18.99,223.46
67.44964652311255,159.22168188742245,19.02,224.03
68.45635766524856,159.15334722684486,19.05,224.52
69.46306880738457,160.66853869358005,19.08,224.98919609779531
70.46977994952057,161.1965445788143,19.12,225.47
71.47649109165658,159.91002486754815,19.16,225.9653527352201
72.4832022337926,160.9715308518168,19.19,226.41
73.4899133759286,160.9901433159388,19.23,226.72
74.4966245180646,160.5824665502946,19.26,227.15
75.50333566020062,159.90682988368889,19.29,227.48
76.51004680233662,158.4041234141502,19.32,227.82
77.51675794447263,158.94188400177808,19.36,228.17
78.52346908660864,159.4518184087739,19.41,228.48358232801323
79.53018022874465,159.5576068748892,19.43,228.83
80.53689137088065,160.13639970945297,19.49,229.05
81.54360251301667,160.8857532803701,19.5,229.39
82.55031365515268,160.04057633994202,19.53,229.55
83.55702479728868,160.6473154245918,19.54,229.76
84.56373593942469,160.04479304073377,19.54,229.97
85.5704470815607,160.43687445207553,19.56,230.08
86.5771582236967,160.72641185496855,19.56,230.23
87.58386936583271,159.94463959643,19.57,230.38
88.59058050796872,159.2636503770587,19.61,230.49
89.59729165010474,159.9043053835748,19.62,230.73
90.60400279224073,159.38033372987175,19.62,230.87
91.61071393437675,159.22075653558068,19.62,230.99
92.61742507651276,160.19537208867413,19.64,231.06
93.62413621864876,160.47247016854718,19.64,231.13
94.63084736078477,160.27769775633828,19.64,231.19
95.63755850292078,159.72488341405412,19.64,231.23
96.6442696450568,159.76547743159335,19.65,231.3
97.6509807871928,159.31342647468847,19.65,231.33
98.6576919293288,159.71823283758889,19.68,231.39
99.66440307146482,160.01797092486242,19.68,231.46
100.67111421360082,160.50575004754583,19.69,231.5
101.67782535573683,160.15554623771163,19.69,231.58
102.68453649787284,160.05445955092745,19.69,231.61
103.69124764000884,160.38539106051184,19.69,231.66
104.69795878214485,160.09942638154428,19.69,231.71
